ent_num,sdn_name,sdn_type,programs,remarks,title,call_sign,vessel_type,tonnage,gross_registered_tonnage,flag,vessel_owner
51582,CORUM,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E2362,Products Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9544281; MMSI 352002588; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
51583,TOPAZ,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,8P2459,Products Tanker,-0- ,-0- ,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2004; Vessel Registration Identification IMO 9292034; MMSI 314959000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
51584,SALTY WOLF,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E3497,Crude Oil Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9530917; MMSI 352002280; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
51586,SAKARYA,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E3835,Crude Oil Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9524463; MMSI 352002168; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
51587,TRUST,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,8P2453,Products Tanker,-0- ,-0- ,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2008; Vessel Registration Identification IMO 9382798; MMSI 314953000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
51588,SABLE,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E4117,Crude Oil Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9524451; MMSI 352002179; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
51589,TRIUMPH,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,8P2439,Products Tanker,-0- ,-0- ,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2007; Vessel Registration Identification IMO 9344033; MMSI 314943000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
51591,CANKIRI,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E4108,Crude Oil Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9411331; MMSI 352002456; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
51592,ELEGANCE,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E5080,Crude Oil Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9383950; MMSI 352002791; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
51594,UNIVERSAL,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,8P2454,Chemical/Oil Tanker,-0- ,-0- ,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2009; Vessel Registration Identification IMO 9384306; MMSI 314954000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
